Generation,Individual,x1,x2,Fitness
0,0,4.941831,0.491057,45.307552
0,1,-0.206776,-0.166153,12.359848
0,2,0.450940,3.055934,29.681958
0,3,0.450940,3.055934,29.681958
0,4,-3.294629,0.862658,27.864236
0,5,2.954767,-0.889684,12.230890
0,6,4.941831,-1.827512,33.742042
0,7,0.536992,-3.109105,31.945145
0,8,-0.958564,-3.404980,31.119826
0,9,1.674484,-3.003299,26.394639
0,10,-0.206776,-1.229699,17.600219
0,11,0.536992,4.849269,47.694220
0,12,-1.582840,-1.874858,27.631413
0,13,-3.778240,4.892549,48.640838
0,14,2.954767,-1.114277,12.842342
0,15,3.375333,-3.891990,45.842068
0,16,-4.125396,-4.191609,43.947973
0,17,-2.968929,1.856962,16.226800
0,18,-0.383282,-4.271392,47.161093
0,19,1.371394,-4.853310,46.299560
0,20,2.954767,4.229999,35.771320
0,21,-2.522512,-3.682227,53.952768
0,22,1.539276,0.200363,29.038075
0,23,0.145970,-4.191609,27.923063
0,24,1.819406,-1.229699,19.326310
0,25,3.375333,-1.317928,44.355269
0,26,3.738310,0.080589,25.970118
0,27,-2.141618,-3.109105,20.216613
0,28,3.375333,-1.317928,44.355269
0,29,3.375333,-1.317928,44.355269
0,30,3.738310,-1.813522,34.111597
0,31,3.632738,-1.827512,38.575667
0,32,1.539276,0.104624,24.161336
0,33,-1.123214,-4.271392,33.696539
0,34,-2.488378,0.080589,27.426678
0,35,-2.141618,-3.109105,20.216613
0,36,0.176557,1.240641,16.530095
0,37,-0.936527,-0.126594,4.677962
0,38,3.943948,1.428806,37.226075
0,39,-1.204678,0.521648,28.821686
0,40,3.885960,-1.114277,21.270370
0,41,-1.582840,-1.874858,27.631413
0,42,-2.366875,-1.874858,28.753449
0,43,-0.017298,-4.456914,39.559174
0,44,5.043983,-3.109105,37.746883
0,45,-0.017298,4.072060,17.648584
0,46,-3.885798,3.124824,30.250873
0,47,-3.797888,-0.661552,37.173602
0,48,5.044418,-1.874858,32.283406
0,49,-3.885798,3.124824,30.250873
1,0,-0.206776,-3.109105,19.285856
1,1,-2.141618,-3.109105,20.216613
1,2,-1.582840,-1.874858,27.631413
1,3,-0.958564,1.240641,12.207320
1,4,0.450940,3.055934,29.681958
1,5,2.954767,-1.114277,12.842342
1,6,4.941831,0.491057,45.307552
1,7,-1.582840,-1.874858,27.631413
1,8,0.450940,3.055934,29.681958
1,9,2.954767,-3.109105,21.057499
1,10,1.819406,0.200363,16.057922
1,11,-2.968929,1.856962,16.226800
1,12,2.954767,-0.889684,12.230890
1,13,3.738310,0.080589,25.970118
1,14,-3.885798,3.124824,30.250873
1,15,-0.958564,-3.404980,31.119826
1,16,0.145970,0.080589,5.201811
1,17,2.954767,-4.686860,44.962404
1,18,-4.296678,-1.827512,40.012299
1,19,1.674484,1.856962,24.594985
1,20,1.674484,-3.003299,26.394639
1,21,-0.017298,-3.109105,11.984992
1,22,5.043983,-3.109105,37.746883
1,23,4.614522,-4.271392,68.399618
1,24,3.738310,-1.874858,31.159143
1,25,3.632738,0.080589,31.177125
1,26,-2.968929,0.862658,13.246649
1,27,-1.582840,-3.003299,30.203042
1,28,1.819406,-3.109105,21.011947
1,29,5.044418,0.521648,46.012834
1,30,-0.936527,-1.114277,5.372379
