Generation,Individual,x1,x2,Fitness
0,0,1.707794,0.067327,16.423496
0,1,1.707794,0.067327,16.423496
1,0,1.707794,0.067327,16.423496
1,1,1.707794,0.067327,16.423496
2,0,1.707794,0.067327,16.423496
2,1,1.707794,0.067327,16.423496
3,0,-1.020827,0.067327,2.013632
3,1,-1.020827,0.067327,2.013632
4,0,-1.020827,0.067327,2.013632
4,1,-1.020827,0.067327,2.013632
5,0,-1.020827,0.067327,2.013632
5,1,-1.020827,0.067327,2.013632
6,0,-1.020827,0.067327,2.013632
6,1,-1.020827,0.067327,2.013632
7,0,-1.020827,0.067327,2.013632
7,1,-1.020827,0.067327,2.013632
8,0,-1.020827,0.067327,2.013632
8,1,-1.020827,0.067327,2.013632
9,0,-1.020827,0.067327,2.013632
9,1,-1.020827,0.067327,2.013632
10,0,-1.020827,0.067327,2.013632
10,1,-1.020827,0.067327,2.013632
11,0,-1.020827,0.067327,2.013632
11,1,-1.020827,0.067327,2.013632
12,0,-1.020827,0.067327,2.013632
12,1,-1.020827,0.067327,2.013632
13,0,-1.020827,0.067327,2.013632
13,1,-1.020827,0.067327,2.013632
14,0,-1.020827,0.067327,2.013632
14,1,-1.020827,0.067327,2.013632
15,0,-1.020827,0.067327,2.013632
15,1,-1.020827,0.067327,2.013632
16,0,-1.020827,0.067327,2.013632
16,1,-1.020827,0.067327,2.013632
17,0,-1.020827,0.067327,2.013632
17,1,-1.020827,0.067327,2.013632
18,0,-1.020827,0.067327,2.013632
18,1,-1.020827,0.067327,2.013632
19,0,-1.020827,0.067327,2.013632
19,1,-1.020827,0.067327,2.013632
20,0,-1.020827,0.067327,2.013632
20,1,-1.020827,0.067327,2.013632
21,0,-1.020827,0.067327,2.013632
21,1,-1.020827,0.067327,2.013632
22,0,-1.020827,0.067327,2.013632
22,1,-1.020827,0.067327,2.013632
23,0,-1.020827,0.067327,2.013632
23,1,-1.020827,0.067327,2.013632
24,0,-1.020827,0.067327,2.013632
24,1,-1.020827,0.067327,2.013632
25,0,-1.020827,0.067327,2.013632
25,1,-1.020827,0.067327,2.013632
26,0,-1.020827,0.067327,2.013632
26,1,-1.020827,0.067327,2.013632
27,0,-1.020827,0.067327,2.013632
27,1,-1.020827,0.067327,2.013632
28,0,-1.020827,0.067327,2.013632
28,1,-1.020827,0.067327,2.013632
29,0,-1.020827,0.058982,1.809947
29,1,-1.020827,0.058982,1.809947
30,0,-1.020827,0.058982,1.809947
30,1,-1.020827,0.058982,1.809947
31,0,-1.020827,0.058982,1.809947
31,1,-1.020827,0.058982,1.809947
32,0,-1.020827,0.058982,1.809947
32,1,-1.020827,0.058982,1.809947
33,0,-1.020827,0.058982,1.809947
33,1,-1.020827,0.058982,1.809947
34,0,-1.020827,0.058982,1.809947
34,1,-1.020827,0.058982,1.809947
35,0,-1.020827,0.058982,1.809947
35,1,-1.020827,0.058982,1.809947
36,0,-1.020827,0.058982,1.809947
36,1,-1.020827,0.058982,1.809947
37,0,-1.020827,0.058982,1.809947
37,1,-1.020827,0.058982,1.809947
38,0,-1.020827,0.058982,1.809947
38,1,-1.020827,0.058982,1.809947
39,0,-1.020827,0.058982,1.809947
39,1,-1.020827,0.058982,1.809947
40,0,-1.020827,0.058982,1.809947
40,1,-1.020827,0.058982,1.809947
41,0,-1.020827,0.058982,1.809947
41,1,-1.020827,0.058982,1.809947
42,0,-1.020827,0.058982,1.809947
42,1,-1.020827,0.058982,1.809947
43,0,-1.020827,0.058982,1.809947
43,1,-1.020827,0.058982,1.809947
44,0,-1.020827,0.058982,1.809947
44,1,-1.020827,0.058982,1.809947
45,0,-1.020827,0.058982,1.809947
45,1,-1.020827,0.058982,1.809947
46,0,-1.020827,0.058982,1.809947
46,1,-1.020827,0.058982,1.809947
47,0,-1.020827,0.058982,1.809947
47,1,-1.020827,0.058982,1.809947
48,0,-1.020827,0.058982,1.809947
48,1,-1.020827,0.058982,1.809947
49,0,-1.020827,0.058982,1.809947
49,1,-1.020827,0.058982,1.809947
50,0,-1.020827,0.058982,1.809947
50,1,-1.020827,0.058982,1.809947
51,0,-1.020827,0.058982,1.809947
51,1,-1.020827,0.058982,1.809947
52,0,-1.020827,0.058982,1.809947
52,1,-1.020827,0.058982,1.809947
